# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 991212 on     oat-03 device  0 [0000:ca:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 991212 on     oat-03 device  1 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1     9.33    0.00    0.00       0     8.88    0.00    0.00       0
          16             4     float     sum      -1    10.69    0.00    0.00       0     8.85    0.00    0.00       0
          32             8     float     sum      -1     9.27    0.00    0.00       0     8.78    0.00    0.00       0
          64            16     float     sum      -1     9.14    0.01    0.01       0     9.34    0.01    0.01       0
         128            32     float     sum      -1     8.76    0.01    0.01       0     8.82    0.01    0.01       0
         256            64     float     sum      -1     9.24    0.03    0.03       0     8.84    0.03    0.03       0
         512           128     float     sum      -1     9.36    0.05    0.05       0     9.09    0.06    0.06       0
        1024           256     float     sum      -1     8.97    0.11    0.11       0     8.80    0.12    0.12       0
        2048           512     float     sum      -1     9.01    0.23    0.23       0     8.85    0.23    0.23       0
        4096          1024     float     sum      -1     8.92    0.46    0.46       0     9.03    0.45    0.45       0
        8192          2048     float     sum      -1     8.93    0.92    0.92       0     8.89    0.92    0.92       0
       16384          4096     float     sum      -1     9.43    1.74    1.74       0     9.38    1.75    1.75       0
       32768          8192     float     sum      -1    11.85    2.77    2.77       0    11.41    2.87    2.87       0
       65536         16384     float     sum      -1    16.57    3.96    3.96       0    15.97    4.10    4.10       0
      131072         32768     float     sum      -1    25.70    5.10    5.10       0    25.06    5.23    5.23       0
      262144         65536     float     sum      -1    39.93    6.56    6.56       0    39.88    6.57    6.57       0
      524288        131072     float     sum      -1    53.57    9.79    9.79       0    52.84    9.92    9.92       0
     1048576        262144     float     sum      -1    87.08   12.04   12.04       0    86.83   12.08   12.08       0
     2097152        524288     float     sum      -1   164.09   12.78   12.78       0   165.70   12.66   12.66       0
     4194304       1048576     float     sum      -1   294.75   14.23   14.23       0   292.88   14.32   14.32       0
     8388608       2097152     float     sum      -1   549.85   15.26   15.26       0   557.79   15.04   15.04       0
    16777216       4194304     float     sum      -1  1079.60   15.54   15.54       0  1075.54   15.60   15.60       0
    33554432       8388608     float     sum      -1  2143.55   15.65   15.65       0  2143.94   15.65   15.65       0
    67108864      16777216     float     sum      -1  4281.06   15.68   15.68       0  4277.91   15.69   15.69       0
   134217728      33554432     float     sum      -1  8544.65   15.71   15.71       0  8534.28   15.73   15.73       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 5.9532 
#
# Collective test concluded: all_reduce_perf
#

