timestamp,gpu_utilization,memory_used
1770699032,0, 0
1770699032,0, 0
1770699033,23, 639
1770699033,0, 3
1770699034,23, 639
1770699034,0, 3
1770699035,23, 639
1770699035,0, 3
1770699036,21, 639
1770699036,0, 3
1770699037,21, 639
1770699037,0, 3
1770699038,22, 639
1770699038,0, 3
1770699039,23, 639
1770699039,0, 3
1770699040,21, 639
1770699040,0, 3
1770699041,21, 639
1770699041,0, 3
1770699042,21, 639
1770699042,0, 3
1770699043,21, 639
1770699043,0, 3
1770699044,21, 639
1770699044,0, 3
1770699045,0, 0
1770699045,0, 0
1770699046,0, 0
1770699046,0, 0
1770699047,0, 0
1770699047,0, 0
