timestamp,gpu_utilization,memory_used
1770701902,0, 0
1770701902,0, 0
1770701903,1, 459
1770701903,0, 3
1770701904,1, 459
1770701904,0, 3
1770701905,1, 459
1770701905,0, 3
1770701907,1, 459
1770701907,0, 3
1770701908,1, 459
1770701908,0, 3
1770701909,1, 459
1770701909,0, 3
1770701910,1, 459
1770701910,0, 3
1770701911,1, 459
1770701911,0, 3
1770701912,1, 459
1770701912,0, 3
1770701913,1, 459
1770701913,0, 3
1770701914,1, 459
1770701914,0, 3
1770701915,1, 459
1770701915,0, 3
1770701916,1, 459
1770701916,0, 3
1770701917,1, 459
1770701917,0, 3
1770701918,1, 459
1770701918,0, 3
1770701919,1, 459
1770701919,0, 3
1770701920,1, 459
1770701920,0, 3
1770701921,1, 459
1770701921,0, 3
1770701922,1, 459
1770701922,0, 3
1770701923,1, 459
1770701923,0, 3
1770701924,1, 459
1770701924,0, 3
1770701925,1, 459
1770701925,0, 3
1770701926,1, 459
1770701926,0, 3
1770701927,1, 459
1770701927,0, 3
1770701928,1, 459
1770701928,0, 3
1770701929,1, 459
1770701929,0, 3
1770701930,1, 459
1770701930,0, 3
1770701931,1, 459
1770701931,0, 3
1770701932,1, 459
1770701932,0, 3
