# nccl-tests version 2.17.8 nccl-headers=22403 nccl-library=22403
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1048576 maxBytes 268435456 step: 1048576(bytes) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
# nccl-tests version 2.17.8 nccl-headers=22403 nccl-library=22403
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1048576 maxBytes 268435456 step: 1048576(bytes) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
# nccl-tests version 2.17.8 nccl-headers=22403 nccl-library=22403
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1048576 maxBytes 268435456 step: 1048576(bytes) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
# nccl-tests version 2.17.8 nccl-headers=22403 nccl-library=22403
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1048576 maxBytes 268435456 step: 1048576(bytes) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
# nccl-tests version 2.17.8 nccl-headers=22403 nccl-library=22403
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1048576 maxBytes 268435456 step: 1048576(bytes) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
# nccl-tests version 2.17.8 nccl-headers=22403 nccl-library=22403
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1048576 maxBytes 268435456 step: 1048576(bytes) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
# nccl-tests version 2.17.8 nccl-headers=22403 nccl-library=22403
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1048576 maxBytes 268435456 step: 1048576(bytes) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
# nccl-tests version 2.17.8 nccl-headers=22403 nccl-library=22403
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1048576 maxBytes 268435456 step: 1048576(bytes) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 698977 on  skampere1 device  0 [0000:84:00] NVIDIA A100-SXM4-80GB
#  Rank  0 Group  0 Pid 698979 on  skampere1 device  0 [0000:84:00] NVIDIA A100-SXM4-80GB
#  Rank  0 Group  0 Pid 698978 on  skampere1 device  0 [0000:84:00] NVIDIA A100-SXM4-80GB
#  Rank  0 Group  0 Pid 698976 on  skampere1 device  0 [0000:84:00] NVIDIA A100-SXM4-80GB
#  Rank  0 Group  0 Pid 698985 on  skampere1 device  0 [0000:84:00] NVIDIA A100-SXM4-80GB
#  Rank  0 Group  0 Pid 698981 on  skampere1 device  0 [0000:84:00] NVIDIA A100-SXM4-80GB
#  Rank  0 Group  0 Pid 698983 on  skampere1 device  0 [0000:84:00] NVIDIA A100-SXM4-80GB
#  Rank  0 Group  0 Pid 698986 on  skampere1 device  0 [0000:84:00] NVIDIA A100-SXM4-80GB
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
     1048576        262144     float     sum      -1     4.56  229.85    0.00       0     0.10   10810    0.00       0
     2097152        524288     float     sum      -1     5.59  375.12    0.00       0     0.10   21183    0.00       0
     3145728        786432     float     sum      -1     6.73  467.45    0.00       0     0.10   32940    0.00       0
     4194304       1048576     float     sum      -1     7.89  531.90    0.00       0     0.09   45839    0.00       0
     5242880       1310720     float     sum      -1     8.98  584.09    0.00       0     0.09   56074    0.00       0
     6291456       1572864     float     sum      -1    10.15  619.60    0.00       0     0.09   66930    0.00       0
     7340032       1835008     float     sum      -1    11.28  650.62    0.00       0     0.09   80219    0.00       0
     8388608       2097152     float     sum      -1    12.40  676.52    0.00       0     0.10   84733    0.00       0
     9437184       2359296     float     sum      -1    13.64  691.85    0.00       0     0.09  102578    0.00       0
    10485760       2621440     float     sum      -1    15.09  694.85    0.00       0     0.09  110960    0.00       0
    11534336       2883584     float     sum      -1    16.27  708.75    0.00       0     0.09  122056    0.00       0
    12582912       3145728     float     sum      -1    17.93  701.83    0.00       0     0.09  136771    0.00       0
    13631488       3407872     float     sum      -1    19.36  704.03    0.00       0     0.09  145016    0.00       0
    14680064       3670016     float     sum      -1    20.38  720.38    0.00       0     0.09  162211    0.00       0
    15728640       3932160     float     sum      -1    21.15  743.54    0.00       0     0.09  170039    0.00       0
    16777216       4194304     float     sum      -1    22.38  749.75    0.00       0     0.10  174763    0.00       0
    17825792       4456448     float     sum      -1    23.99  743.00    0.00       0     0.09  198064    0.00       0
    18874368       4718592     float     sum      -1    25.48  740.72    0.00       0     0.10  192596    0.00       0
    19922944       4980736     float     sum      -1    26.89  740.85    0.00       0     0.10  209715    0.00       0
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
    20971520       5242880     float     sum      -1    27.76  755.51    0.00       0     0.09  224294    0.00       0
    22020096       5505024     float     sum      -1    29.41  748.72    0.00       0     0.09  240657    0.00       0
    23068672       5767168     float     sum      -1    30.43  758.08    0.00       0     0.09  259199    0.00       0
     1048576        262144     float     sum      -1   149.57    7.01    0.00       0     0.11  9799.8    0.00       0
     2097152        524288     float     sum      -1    26.70   78.53    0.00       0     0.10   21845    0.00       0
    24117248       6029312     float     sum      -1    47.01  513.03    0.00       0     0.10  252537    0.00       0
     3145728        786432     float     sum      -1   271.49   11.59    0.00       0     0.10   32598    0.00       0
    25165824       6291456     float     sum      -1   189.61  132.73    0.00       0     0.10  264903    0.00       0
     4194304       1048576     float     sum      -1   215.84   19.43    0.00       0     0.11   37283    0.00       0
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
     5242880       1310720     float     sum      -1    30.79  170.27    0.00       0     0.09   56680    0.00       0
    26214400       6553600     float     sum      -1    50.33  520.81    0.00       0     0.10  267494    0.00       0
     6291456       1572864     float     sum      -1   142.95   44.01    0.00       0     0.11   58525    0.00       0
     1048576        262144     float     sum      -1   320.88    3.27    0.00       0     0.10   10810    0.00       0
    27262976       6815744     float     sum      -1    49.83  547.14    0.00       0     0.10  278194    0.00       0
