# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1295808 on     oat-05 device  0 [0000:ca:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 1295808 on     oat-05 device  1 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1     9.02    0.00    0.00       0     9.51    0.00    0.00       0
          16             4     float     sum      -1    11.85    0.00    0.00       0     8.65    0.00    0.00       0
          32             8     float     sum      -1     8.88    0.00    0.00       0     8.70    0.00    0.00       0
          64            16     float     sum      -1     8.90    0.01    0.01       0     8.64    0.01    0.01       0
         128            32     float     sum      -1     9.91    0.01    0.01       0     9.06    0.01    0.01       0
         256            64     float     sum      -1     8.91    0.03    0.03       0     8.72    0.03    0.03       0
         512           128     float     sum      -1     8.85    0.06    0.06       0     8.99    0.06    0.06       0
        1024           256     float     sum      -1     8.74    0.12    0.12       0     8.84    0.12    0.12       0
        2048           512     float     sum      -1     8.81    0.23    0.23       0     8.69    0.24    0.24       0
        4096          1024     float     sum      -1     8.72    0.47    0.47       0     8.79    0.47    0.47       0
        8192          2048     float     sum      -1     8.70    0.94    0.94       0     8.73    0.94    0.94       0
       16384          4096     float     sum      -1     9.48    1.73    1.73       0     9.16    1.79    1.79       0
       32768          8192     float     sum      -1    11.78    2.78    2.78       0    11.56    2.83    2.83       0
       65536         16384     float     sum      -1    16.52    3.97    3.97       0    16.14    4.06    4.06       0
      131072         32768     float     sum      -1    26.35    4.97    4.97       0    25.39    5.16    5.16       0
      262144         65536     float     sum      -1    40.15    6.53    6.53       0    40.02    6.55    6.55       0
      524288        131072     float     sum      -1    54.08    9.70    9.70       0    53.37    9.82    9.82       0
     1048576        262144     float     sum      -1    86.52   12.12   12.12       0    87.84   11.94   11.94       0
     2097152        524288     float     sum      -1   154.29   13.59   13.59       0   154.32   13.59   13.59       0
     4194304       1048576     float     sum      -1   283.43   14.80   14.80       0   283.31   14.80   14.80       0
     8388608       2097152     float     sum      -1   541.68   15.49   15.49       0   543.45   15.44   15.44       0
    16777216       4194304     float     sum      -1  1071.04   15.66   15.66       0  1070.51   15.67   15.67       0
    33554432       8388608     float     sum      -1  2134.45   15.72   15.72       0  2130.97   15.75   15.75       0
    67108864      16777216     float     sum      -1  4246.85   15.80   15.80       0  4252.78   15.78   15.78       0
   134217728      33554432     float     sum      -1  8495.64   15.80   15.80       0  8481.81   15.82   15.82       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 6.02821 
#
# Collective test concluded: all_reduce_perf
#

