# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1168070 on     oat-04 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 1168070 on     oat-04 device  1 [0000:ca:00] NVIDIA L40S
NCCL version 2.29.2+cuda13.1
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    15.53    0.00    0.00       0    15.29    0.00    0.00       0
          16             4     float     sum      -1    15.16    0.00    0.00       0    15.19    0.00    0.00       0
          32             8     float     sum      -1    15.73    0.00    0.00       0    15.39    0.00    0.00       0
          64            16     float     sum      -1    15.51    0.00    0.00       0    15.46    0.00    0.00       0
         128            32     float     sum      -1    15.29    0.01    0.01       0    15.47    0.01    0.01       0
         256            64     float     sum      -1    15.41    0.02    0.02       0    15.24    0.02    0.02       0
         512           128     float     sum      -1    15.53    0.03    0.03       0    15.31    0.03    0.03       0
        1024           256     float     sum      -1    15.31    0.07    0.07       0    15.56    0.07    0.07       0
        2048           512     float     sum      -1    15.66    0.13    0.13       0    15.44    0.13    0.13       0
        4096          1024     float     sum      -1    16.09    0.25    0.25       0    16.01    0.26    0.26       0
        8192          2048     float     sum      -1    16.43    0.50    0.50       0    16.40    0.50    0.50       0
       16384          4096     float     sum      -1    21.00    0.78    0.78       0    20.77    0.79    0.79       0
       32768          8192     float     sum      -1    21.78    1.50    1.50       0    21.64    1.51    1.51       0
       65536         16384     float     sum      -1    24.15    2.71    2.71       0    23.89    2.74    2.74       0
      131072         32768     float     sum      -1    31.61    4.15    4.15       0    31.16    4.21    4.21       0
      262144         65536     float     sum      -1    46.21    5.67    5.67       0    46.08    5.69    5.69       0
      524288        131072     float     sum      -1    76.39    6.86    6.86       0    76.28    6.87    6.87       0
     1048576        262144     float     sum      -1   132.78    7.90    7.90       0   131.98    7.95    7.95       0
     2097152        524288     float     sum      -1   248.34    8.44    8.44       0   247.28    8.48    8.48       0
     4194304       1048576     float     sum      -1   486.20    8.63    8.63       0   485.37    8.64    8.64       0
     8388608       2097152     float     sum      -1   957.70    8.76    8.76       0   956.26    8.77    8.77       0
    16777216       4194304     float     sum      -1  1905.50    8.80    8.80       0  2050.66    8.18    8.18       0
    33554432       8388608     float     sum      -1  3781.55    8.87    8.87       0  3773.99    8.89    8.89       0
    67108864      16777216     float     sum      -1  7550.35    8.89    8.89       0  7547.00    8.89    8.89       0
   134217728      33554432     float     sum      -1  15093.0    8.89    8.89       0  15069.9    8.91    8.91       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 3.66858 
#
# Collective test concluded: all_reduce_perf
#

