# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1168503 on     oat-04 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 1168503 on     oat-04 device  1 [0000:ca:00] NVIDIA L40S
NCCL version 2.29.2+cuda13.1
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    21.12    0.00    0.00       0    21.02    0.00    0.00       0
          16             4     float     sum      -1    21.68    0.00    0.00       0    21.06    0.00    0.00       0
          32             8     float     sum      -1    21.34    0.00    0.00       0    21.08    0.00    0.00       0
          64            16     float     sum      -1    21.16    0.00    0.00       0    21.14    0.00    0.00       0
         128            32     float     sum      -1    21.50    0.01    0.01       0    21.34    0.01    0.01       0
         256            64     float     sum      -1    21.31    0.01    0.01       0    21.37    0.01    0.01       0
         512           128     float     sum      -1    21.21    0.02    0.02       0    21.12    0.02    0.02       0
        1024           256     float     sum      -1    21.46    0.05    0.05       0    21.08    0.05    0.05       0
        2048           512     float     sum      -1    21.44    0.10    0.10       0    21.29    0.10    0.10       0
        4096          1024     float     sum      -1    21.98    0.19    0.19       0    21.63    0.19    0.19       0
        8192          2048     float     sum      -1    22.37    0.37    0.37       0    22.18    0.37    0.37       0
       16384          4096     float     sum      -1    22.82    0.72    0.72       0    22.89    0.72    0.72       0
       32768          8192     float     sum      -1    26.53    1.24    1.24       0    26.56    1.23    1.23       0
       65536         16384     float     sum      -1    28.21    2.32    2.32       0    28.17    2.33    2.33       0
      131072         32768     float     sum      -1    32.28    4.06    4.06       0    32.21    4.07    4.07       0
      262144         65536     float     sum      -1    41.45    6.32    6.32       0    41.63    6.30    6.30       0
      524288        131072     float     sum      -1    55.71    9.41    9.41       0    55.10    9.51    9.51       0
     1048576        262144     float     sum      -1    89.40   11.73   11.73       0    88.32   11.87   11.87       0
     2097152        524288     float     sum      -1   159.76   13.13   13.13       0   159.66   13.14   13.14       0
     4194304       1048576     float     sum      -1   291.12   14.41   14.41       0   289.73   14.48   14.48       0
     8388608       2097152     float     sum      -1   550.30   15.24   15.24       0   551.40   15.21   15.21       0
    16777216       4194304     float     sum      -1  1086.60   15.44   15.44       0  1088.91   15.41   15.41       0
    33554432       8388608     float     sum      -1  2155.86   15.56   15.56       0  2162.08   15.52   15.52       0
    67108864      16777216     float     sum      -1  4274.11   15.70   15.70       0  4292.90   15.63   15.63       0
   134217728      33554432     float     sum      -1  8557.02   15.69   15.69       0  8570.61   15.66   15.66       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 5.67078 
#
# Collective test concluded: all_reduce_perf
#

