# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1149754 on     oat-04 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 1149754 on     oat-04 device  1 [0000:ca:00] NVIDIA L40S
NCCL version 2.29.2+cuda13.1
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1     9.17    0.00    0.00       0     8.93    0.00    0.00       0
          16             4     float     sum      -1    11.59    0.00    0.00       0     8.86    0.00    0.00       0
          32             8     float     sum      -1     9.82    0.00    0.00       0     8.92    0.00    0.00       0
          64            16     float     sum      -1    10.36    0.01    0.01       0     8.91    0.01    0.01       0
         128            32     float     sum      -1     9.19    0.01    0.01       0     8.99    0.01    0.01       0
         256            64     float     sum      -1     8.86    0.03    0.03       0     8.94    0.03    0.03       0
         512           128     float     sum      -1     9.68    0.05    0.05       0     8.97    0.06    0.06       0
        1024           256     float     sum      -1     8.91    0.11    0.11       0     8.96    0.11    0.11       0
        2048           512     float     sum      -1     9.03    0.23    0.23       0     8.94    0.23    0.23       0
        4096          1024     float     sum      -1     9.05    0.45    0.45       0     9.40    0.44    0.44       0
        8192          2048     float     sum      -1     8.95    0.92    0.92       0     9.05    0.90    0.90       0
       16384          4096     float     sum      -1     9.85    1.66    1.66       0     9.84    1.67    1.67       0
       32768          8192     float     sum      -1    12.57    2.61    2.61       0    12.37    2.65    2.65       0
       65536         16384     float     sum      -1    17.48    3.75    3.75       0    17.06    3.84    3.84       0
      131072         32768     float     sum      -1    27.81    4.71    4.71       0    27.10    4.84    4.84       0
      262144         65536     float     sum      -1    41.84    6.27    6.27       0    41.38    6.33    6.33       0
      524288        131072     float     sum      -1    55.74    9.41    9.41       0    55.41    9.46    9.46       0
     1048576        262144     float     sum      -1    89.42   11.73   11.73       0    88.88   11.80   11.80       0
     2097152        524288     float     sum      -1   160.83   13.04   13.04       0   160.40   13.07   13.07       0
     4194304       1048576     float     sum      -1   294.45   14.24   14.24       0   294.85   14.23   14.23       0
     8388608       2097152     float     sum      -1   552.59   15.18   15.18       0   553.83   15.15   15.15       0
    16777216       4194304     float     sum      -1  1093.59   15.34   15.34       0  1095.47   15.32   15.32       0
    33554432       8388608     float     sum      -1  2176.83   15.41   15.41       0  2168.16   15.48   15.48       0
    67108864      16777216     float     sum      -1  4319.88   15.53   15.53       0  4336.11   15.48   15.48       0
   134217728      33554432     float     sum      -1  8617.72   15.57   15.57       0  8641.20   15.53   15.53       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 5.85815 
#
# Collective test concluded: all_reduce_perf
#

