# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 4045495 on     oat-02 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 4045495 on     oat-02 device  1 [0000:61:00] NVIDIA L40S
#  Rank  2 Group  0 Pid 4045495 on     oat-02 device  2 [0000:ca:00] NVIDIA L40S
#  Rank  3 Group  0 Pid 4045495 on     oat-02 device  3 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    17.73    0.00    0.00       0    17.60    0.00    0.00       0
          16             4     float     sum      -1    18.84    0.00    0.00       0    17.20    0.00    0.00       0
          32             8     float     sum      -1    17.14    0.00    0.00       0    17.60    0.00    0.00       0
          64            16     float     sum      -1    17.49    0.00    0.01       0    17.46    0.00    0.01       0
         128            32     float     sum      -1    17.92    0.01    0.01       0    17.59    0.01    0.01       0
         256            64     float     sum      -1    17.38    0.01    0.02       0    17.62    0.01    0.02       0
         512           128     float     sum      -1    18.22    0.03    0.04       0    17.42    0.03    0.04       0
        1024           256     float     sum      -1    17.34    0.06    0.09       0    17.63    0.06    0.09       0
        2048           512     float     sum      -1    17.26    0.12    0.18       0    17.40    0.12    0.18       0
        4096          1024     float     sum      -1    17.64    0.23    0.35       0    17.60    0.23    0.35       0
        8192          2048     float     sum      -1    17.73    0.46    0.69       0    17.70    0.46    0.69       0
       16384          4096     float     sum      -1    17.90    0.92    1.37       0    18.45    0.89    1.33       0
       32768          8192     float     sum      -1    18.26    1.79    2.69       0    18.01    1.82    2.73       0
       65536         16384     float     sum      -1    23.11    2.84    4.25       0    22.73    2.88    4.33       0
      131072         32768     float     sum      -1    40.48    3.24    4.86       0    35.65    3.68    5.51       0
      262144         65536     float     sum      -1    67.69    3.87    5.81       0    65.09    4.03    6.04       0
      524288        131072     float     sum      -1    86.72    6.05    9.07       0    86.44    6.07    9.10       0
     1048576        262144     float     sum      -1   126.98    8.26   12.39       0   126.32    8.30   12.45       0
     2097152        524288     float     sum      -1   219.44    9.56   14.34       0   219.38    9.56   14.34       0
     4194304       1048576     float     sum      -1   419.36   10.00   15.00       0   418.43   10.02   15.04       0
     8388608       2097152     float     sum      -1   855.29    9.81   14.71       0   856.26    9.80   14.70       0
    16777216       4194304     float     sum      -1  1767.07    9.49   14.24       0  1757.11    9.55   14.32       0
    33554432       8388608     float     sum      -1  3496.50    9.60   14.39       0  3480.25    9.64   14.46       0
    67108864      16777216     float     sum      -1  6917.70    9.70   14.55       0  6892.87    9.74   14.60       0
   134217728      33554432     float     sum      -1  13730.5    9.78   14.66       0  13650.7    9.83   14.75       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 5.77648 
#
# Collective test concluded: all_reduce_perf
#

