# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1176330 on     oat-04 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 1176330 on     oat-04 device  1 [0000:61:00] NVIDIA L40S
#  Rank  2 Group  0 Pid 1176330 on     oat-04 device  2 [0000:ca:00] NVIDIA L40S
#  Rank  3 Group  0 Pid 1176330 on     oat-04 device  3 [0000:e1:00] NVIDIA L40S
NCCL version 2.29.2+cuda13.1
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    39.42    0.00    0.00       0    38.89    0.00    0.00       0
          16             4     float     sum      -1    38.73    0.00    0.00       0    38.49    0.00    0.00       0
          32             8     float     sum      -1    38.65    0.00    0.00       0    38.56    0.00    0.00       0
          64            16     float     sum      -1    38.66    0.00    0.00       0    38.56    0.00    0.00       0
         128            32     float     sum      -1    39.16    0.00    0.00       0    39.10    0.00    0.00       0
         256            64     float     sum      -1    39.09    0.01    0.01       0    39.27    0.01    0.01       0
         512           128     float     sum      -1    39.09    0.01    0.02       0    39.03    0.01    0.02       0
        1024           256     float     sum      -1    39.07    0.03    0.04       0    39.03    0.03    0.04       0
        2048           512     float     sum      -1    39.12    0.05    0.08       0    39.38    0.05    0.08       0
        4096          1024     float     sum      -1    40.93    0.10    0.15       0    40.59    0.10    0.15       0
        8192          2048     float     sum      -1    42.12    0.19    0.29       0    41.79    0.20    0.29       0
       16384          4096     float     sum      -1    44.28    0.37    0.56       0    43.86    0.37    0.56       0
       32768          8192     float     sum      -1    51.48    0.64    0.95       0    51.23    0.64    0.96       0
       65536         16384     float     sum      -1    58.50    1.12    1.68       0    58.18    1.13    1.69       0
      131072         32768     float     sum      -1    54.45    2.41    3.61       0    54.42    2.41    3.61       0
      262144         65536     float     sum      -1    64.87    4.04    6.06       0    64.70    4.05    6.08       0
      524288        131072     float     sum      -1    88.22    5.94    8.91       0    88.00    5.96    8.94       0
     1048576        262144     float     sum      -1   131.74    7.96   11.94       0   128.59    8.15   12.23       0
     2097152        524288     float     sum      -1   219.18    9.57   14.35       0   218.44    9.60   14.40       0
     4194304       1048576     float     sum      -1   417.55   10.05   15.07       0   418.64   10.02   15.03       0
     8388608       2097152     float     sum      -1   853.88    9.82   14.74       0   857.29    9.79   14.68       0
    16777216       4194304     float     sum      -1  1768.54    9.49   14.23       0  1765.09    9.51   14.26       0
    33554432       8388608     float     sum      -1  3502.16    9.58   14.37       0  3489.43    9.62   14.42       0
    67108864      16777216     float     sum      -1  6940.66    9.67   14.50       0  6933.74    9.68   14.52       0
   134217728      33554432     float     sum      -1  13780.1    9.74   14.61       0  13725.8    9.78   14.67       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 5.4566 
#
# Collective test concluded: all_reduce_perf
#

