# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 4067204 on     oat-02 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 4067204 on     oat-02 device  1 [0000:61:00] NVIDIA L40S
#  Rank  2 Group  0 Pid 4067204 on     oat-02 device  2 [0000:ca:00] NVIDIA L40S
#  Rank  3 Group  0 Pid 4067204 on     oat-02 device  3 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    19.38    0.00    0.00       0    17.28    0.00    0.00       0
          16             4     float     sum      -1    18.64    0.00    0.00       0    17.04    0.00    0.00       0
          32             8     float     sum      -1    17.26    0.00    0.00       0    17.03    0.00    0.00       0
          64            16     float     sum      -1    17.28    0.00    0.01       0    17.38    0.00    0.01       0
         128            32     float     sum      -1    17.20    0.01    0.01       0    17.82    0.01    0.01       0
         256            64     float     sum      -1    17.27    0.01    0.02       0    17.16    0.01    0.02       0
         512           128     float     sum      -1    17.61    0.03    0.04       0    17.33    0.03    0.04       0
        1024           256     float     sum      -1    17.17    0.06    0.09       0    17.56    0.06    0.09       0
        2048           512     float     sum      -1    17.12    0.12    0.18       0    17.28    0.12    0.18       0
        4096          1024     float     sum      -1    17.35    0.24    0.35       0    17.43    0.24    0.35       0
        8192          2048     float     sum      -1    17.39    0.47    0.71       0    17.37    0.47    0.71       0
       16384          4096     float     sum      -1    17.60    0.93    1.40       0    17.40    0.94    1.41       0
       32768          8192     float     sum      -1    17.55    1.87    2.80       0    17.72    1.85    2.77       0
       65536         16384     float     sum      -1    23.02    2.85    4.27       0    22.73    2.88    4.32       0
      131072         32768     float     sum      -1    36.94    3.55    5.32       0    41.63    3.15    4.72       0
      262144         65536     float     sum      -1    66.91    3.92    5.88       0    63.99    4.10    6.15       0
      524288        131072     float     sum      -1    86.63    6.05    9.08       0    85.86    6.11    9.16       0
     1048576        262144     float     sum      -1   128.67    8.15   12.22       0   125.28    8.37   12.55       0
     2097152        524288     float     sum      -1   217.55    9.64   14.46       0   218.54    9.60   14.39       0
     4194304       1048576     float     sum      -1   408.99   10.26   15.38       0   408.66   10.26   15.40       0
     8388608       2097152     float     sum      -1   821.95   10.21   15.31       0   827.99   10.13   15.20       0
    16777216       4194304     float     sum      -1  1690.85    9.92   14.88       0  1690.56    9.92   14.89       0
    33554432       8388608     float     sum      -1  3350.47   10.01   15.02       0  3349.55   10.02   15.03       0
    67108864      16777216     float     sum      -1  6661.92   10.07   15.11       0  6642.65   10.10   15.15       0
   134217728      33554432     float     sum      -1  13220.9   10.15   15.23       0  13185.1   10.18   15.27       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 5.91223 
#
# Collective test concluded: all_reduce_perf
#

