# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1176161 on     oat-04 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 1176161 on     oat-04 device  1 [0000:61:00] NVIDIA L40S
#  Rank  2 Group  0 Pid 1176161 on     oat-04 device  2 [0000:ca:00] NVIDIA L40S
#  Rank  3 Group  0 Pid 1176161 on     oat-04 device  3 [0000:e1:00] NVIDIA L40S
NCCL version 2.29.2+cuda13.1
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    17.36    0.00    0.00       0    17.13    0.00    0.00       0
          16             4     float     sum      -1    18.34    0.00    0.00       0    17.21    0.00    0.00       0
          32             8     float     sum      -1    17.04    0.00    0.00       0    17.06    0.00    0.00       0
          64            16     float     sum      -1    17.29    0.00    0.01       0    17.07    0.00    0.01       0
         128            32     float     sum      -1    17.19    0.01    0.01       0    16.97    0.01    0.01       0
         256            64     float     sum      -1    17.72    0.01    0.02       0    17.12    0.01    0.02       0
         512           128     float     sum      -1    17.31    0.03    0.04       0    17.29    0.03    0.04       0
        1024           256     float     sum      -1    17.03    0.06    0.09       0    17.02    0.06    0.09       0
        2048           512     float     sum      -1    17.62    0.12    0.17       0    17.01    0.12    0.18       0
        4096          1024     float     sum      -1    17.30    0.24    0.36       0    17.15    0.24    0.36       0
        8192          2048     float     sum      -1    19.36    0.42    0.63       0    18.06    0.45    0.68       0
       16384          4096     float     sum      -1    22.00    0.74    1.12       0    21.68    0.76    1.13       0
       32768          8192     float     sum      -1    28.18    1.16    1.74       0    27.63    1.19    1.78       0
       65536         16384     float     sum      -1    58.74    1.12    1.67       0    58.20    1.13    1.69       0
      131072         32768     float     sum      -1    80.67    1.62    2.44       0    80.40    1.63    2.45       0
      262144         65536     float     sum      -1   120.49    2.18    3.26       0   119.26    2.20    3.30       0
      524288        131072     float     sum      -1   199.52    2.63    3.94       0   199.15    2.63    3.95       0
     1048576        262144     float     sum      -1   358.61    2.92    4.39       0   357.69    2.93    4.40       0
     2097152        524288     float     sum      -1   421.74    4.97    7.46       0   419.50    5.00    7.50       0
     4194304       1048576     float     sum      -1   627.43    6.68   10.03       0   629.15    6.67   10.00       0
     8388608       2097152     float     sum      -1  1050.39    7.99   11.98       0  1047.80    8.01   12.01       0
    16777216       4194304     float     sum      -1  1897.77    8.84   13.26       0  1897.84    8.84   13.26       0
    33554432       8388608     float     sum      -1  3665.09    9.16   13.73       0  3657.95    9.17   13.76       0
    67108864      16777216     float     sum      -1  7253.84    9.25   13.88       0  7225.46    9.29   13.93       0
   134217728      33554432     float     sum      -1  14329.5    9.37   14.05       0  14290.9    9.39   14.09       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 4.17852 
#
# Collective test concluded: all_reduce_perf
#

