timestamp,gpu_utilization,memory_used
1770701937,0, 0
1770701937,0, 0
1770701938,59, 639
1770701938,0, 3
1770701939,57, 639
1770701939,0, 3
1770701940,57, 639
1770701940,0, 3
1770701941,57, 639
1770701941,0, 3
1770701942,58, 639
1770701942,0, 3
1770701943,59, 639
1770701943,0, 3
1770701944,59, 639
1770701944,0, 3
1770701946,58, 639
1770701946,0, 3
1770701947,58, 639
1770701947,0, 3
1770701948,57, 639
1770701948,0, 3
1770701949,58, 639
1770701949,0, 3
1770701950,58, 639
1770701950,0, 3
1770701952,58, 639
1770701952,0, 3
1770701953,58, 639
1770701953,0, 3
1770701954,58, 639
1770701954,0, 3
1770701955,57, 639
1770701955,0, 3
1770701956,57, 639
1770701956,0, 3
1770701957,58, 639
1770701957,0, 3
1770701958,59, 639
1770701958,0, 3
1770701959,59, 639
1770701959,0, 3
1770701961,58, 639
1770701961,0, 3
1770701962,58, 639
1770701962,0, 3
1770701963,59, 639
1770701963,0, 3
1770701964,57, 639
1770701964,0, 3
1770701965,57, 639
1770701965,0, 3
1770701967,57, 639
1770701967,0, 3
1770701968,59, 639
1770701968,0, 3
1770701969,57, 639
1770701969,0, 3
1770701970,57, 639
1770701970,0, 3
