# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 991466 on     oat-03 device  0 [0000:ca:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 991466 on     oat-03 device  1 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    51.98    0.00    0.00       0     9.15    0.00    0.00       0
          16             4     float     sum      -1    10.50    0.00    0.00       0     9.05    0.00    0.00       0
          32             8     float     sum      -1     9.38    0.00    0.00       0     9.08    0.00    0.00       0
          64            16     float     sum      -1     9.45    0.01    0.01       0     9.63    0.01    0.01       0
         128            32     float     sum      -1     9.12    0.01    0.01       0     9.10    0.01    0.01       0
         256            64     float     sum      -1     9.35    0.03    0.03       0     9.06    0.03    0.03       0
         512           128     float     sum      -1     9.40    0.05    0.05       0     9.27    0.06    0.06       0
        1024           256     float     sum      -1     9.02    0.11    0.11       0     9.10    0.11    0.11       0
        2048           512     float     sum      -1     9.20    0.22    0.22       0     9.00    0.23    0.23       0
        4096          1024     float     sum      -1     9.20    0.45    0.45       0     9.04    0.45    0.45       0
        8192          2048     float     sum      -1     9.26    0.88    0.88       0     9.11    0.90    0.90       0
       16384          4096     float     sum      -1     9.42    1.74    1.74       0     9.59    1.71    1.71       0
       32768          8192     float     sum      -1    11.83    2.77    2.77       0    11.63    2.82    2.82       0
       65536         16384     float     sum      -1    16.72    3.92    3.92       0    16.61    3.94    3.94       0
      131072         32768     float     sum      -1    26.59    4.93    4.93       0    26.38    4.97    4.97       0
      262144         65536     float     sum      -1    40.32    6.50    6.50       0    40.11    6.53    6.53       0
      524288        131072     float     sum      -1    54.40    9.64    9.64       0    53.92    9.72    9.72       0
     1048576        262144     float     sum      -1    85.79   12.22   12.22       0    86.76   12.09   12.09       0
     2097152        524288     float     sum      -1   270.50    7.75    7.75       0   270.30    7.76    7.76       0
     4194304       1048576     float     sum      -1   445.35    9.42    9.42       0   443.44    9.46    9.46       0
     8388608       2097152     float     sum      -1   985.55    8.51    8.51       0   982.08    8.54    8.54       0
    16777216       4194304     float     sum      -1  1892.59    8.86    8.86       0  1882.95    8.91    8.91       0
    33554432       8388608     float     sum      -1  3884.36    8.64    8.64       0  3800.12    8.83    8.83       0
    67108864      16777216     float     sum      -1  7529.70    8.91    8.91       0  7539.98    8.90    8.90       0
   134217728      33554432     float     sum      -1  15148.7    8.86    8.86       0  15038.6    8.92    8.92       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 4.18718 
#
# Collective test concluded: all_reduce_perf
#

