timestamp,gpu_utilization,memory_used
1770700814,0, 0
1770700814,0, 0
1770700815,1, 459
1770700815,0, 3
1770700816,1, 459
1770700816,0, 3
1770700817,1, 459
1770700817,0, 3
1770700818,1, 459
1770700818,0, 3
1770700819,1, 459
1770700819,0, 3
1770700820,1, 459
1770700820,0, 3
1770700821,1, 459
1770700821,0, 3
1770700822,1, 459
1770700822,0, 3
1770700823,1, 459
1770700823,0, 3
1770700825,1, 459
1770700825,0, 3
1770700826,1, 459
1770700826,0, 3
1770700827,1, 459
1770700827,0, 3
1770700828,1, 459
1770700828,0, 3
1770700829,1, 459
1770700829,0, 3
1770700830,1, 459
1770700830,0, 3
1770700831,1, 459
1770700831,0, 3
1770700832,1, 459
1770700832,0, 3
1770700833,1, 459
1770700833,0, 3
1770700834,1, 459
1770700834,0, 3
1770700835,1, 459
1770700835,0, 3
1770700836,1, 459
1770700836,0, 3
1770700837,1, 459
1770700837,0, 3
1770700838,1, 459
1770700838,0, 3
1770700839,1, 459
1770700839,0, 3
1770700840,1, 459
1770700840,0, 3
1770700841,1, 459
1770700841,0, 3
1770700842,1, 459
1770700842,0, 3
1770700843,1, 459
1770700843,0, 3
1770700844,1, 459
1770700844,0, 3
