timestamp,gpu_utilization,memory_used
1770701984,0, 0
1770701984,0, 0
1770701985,100, 1215
1770701985,0, 3
1770701986,100, 1215
1770701986,0, 3
1770701987,100, 1215
1770701987,0, 3
1770701988,100, 1215
1770701988,0, 3
1770701989,100, 1215
1770701989,0, 3
1770701990,100, 1215
1770701990,0, 3
1770701991,100, 1215
1770701991,0, 3
1770701992,100, 1215
1770701992,0, 3
1770701993,100, 1215
1770701993,0, 3
1770701994,100, 1215
1770701994,0, 3
1770701995,100, 1215
1770701995,0, 3
1770701996,100, 1215
1770701996,0, 3
1770701997,100, 1215
1770701997,0, 3
1770701998,100, 1215
1770701998,0, 3
1770701999,100, 1215
1770701999,0, 3
1770702000,100, 1215
1770702000,0, 3
1770702001,100, 1215
1770702001,0, 3
1770702002,100, 1215
1770702002,0, 3
1770702003,100, 1215
1770702003,0, 3
1770702004,100, 1215
1770702004,0, 3
1770702006,100, 1215
1770702006,0, 3
1770702007,100, 1215
1770702007,0, 3
1770702008,100, 1215
1770702008,0, 3
1770702009,100, 1215
1770702009,0, 3
1770702010,100, 1215
1770702010,0, 3
1770702011,100, 1215
1770702011,0, 3
1770702012,100, 1215
1770702012,0, 3
1770702013,100, 1215
1770702013,0, 3
1770702014,100, 1215
1770702014,0, 3
