# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 4086509 on     oat-02 device  0 [0000:ca:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 4086509 on     oat-02 device  1 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1     9.10    0.00    0.00       0    17.09    0.00    0.00       0
          16             4     float     sum      -1    12.54    0.00    0.00       0     9.37    0.00    0.00       0
          32             8     float     sum      -1    10.27    0.00    0.00       0     9.55    0.00    0.00       0
          64            16     float     sum      -1     9.55    0.01    0.01       0     9.34    0.01    0.01       0
         128            32     float     sum      -1     9.50    0.01    0.01       0     9.14    0.01    0.01       0
         256            64     float     sum      -1     9.81    0.03    0.03       0     9.06    0.03    0.03       0
         512           128     float     sum      -1     9.40    0.05    0.05       0     9.28    0.06    0.06       0
        1024           256     float     sum      -1     9.69    0.11    0.11       0     9.16    0.11    0.11       0
        2048           512     float     sum      -1     9.42    0.22    0.22       0     9.19    0.22    0.22       0
        4096          1024     float     sum      -1     9.56    0.43    0.43       0     9.32    0.44    0.44       0
        8192          2048     float     sum      -1     9.59    0.85    0.85       0     9.14    0.90    0.90       0
       16384          4096     float     sum      -1     9.72    1.68    1.68       0     9.67    1.69    1.69       0
       32768          8192     float     sum      -1    11.68    2.80    2.80       0    11.52    2.84    2.84       0
       65536         16384     float     sum      -1    16.46    3.98    3.98       0    16.08    4.08    4.08       0
      131072         32768     float     sum      -1    25.54    5.13    5.13       0    24.79    5.29    5.29       0
      262144         65536     float     sum      -1    40.18    6.52    6.52       0    39.91    6.57    6.57       0
      524288        131072     float     sum      -1    54.13    9.68    9.68       0    53.88    9.73    9.73       0
     1048576        262144     float     sum      -1    88.28   11.88   11.88       0    87.24   12.02   12.02       0
     2097152        524288     float     sum      -1   168.38   12.46   12.46       0   169.19   12.40   12.40       0
     4194304       1048576     float     sum      -1   298.67   14.04   14.04       0   297.94   14.08   14.08       0
     8388608       2097152     float     sum      -1   566.30   14.81   14.81       0   558.05   15.03   15.03       0
    16777216       4194304     float     sum      -1  1114.30   15.06   15.06       0  1108.98   15.13   15.13       0
    33554432       8388608     float     sum      -1  2187.87   15.34   15.34       0  2196.55   15.28   15.28       0
    67108864      16777216     float     sum      -1  4362.86   15.38   15.38       0  4368.82   15.36   15.36       0
   134217728      33554432     float     sum      -1  8721.23   15.39   15.39       0  8711.56   15.41   15.41       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 5.85107 
#
# Collective test concluded: all_reduce_perf
#

