# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 4100116 on     oat-02 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 4100116 on     oat-02 device  1 [0000:61:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1   103.23    0.00    0.00       0   120.29    0.00    0.00       0
          16             4     float     sum      -1   120.40    0.00    0.00       0   120.55    0.00    0.00       0
          32             8     float     sum      -1   121.42    0.00    0.00       0   120.51    0.00    0.00       0
          64            16     float     sum      -1   121.41    0.00    0.00       0   121.53    0.00    0.00       0
         128            32     float     sum      -1   121.50    0.00    0.00       0   121.58    0.00    0.00       0
         256            64     float     sum      -1   120.80    0.00    0.00       0   121.52    0.00    0.00       0
         512           128     float     sum      -1   121.81    0.00    0.00       0   121.73    0.00    0.00       0
        1024           256     float     sum      -1   121.75    0.01    0.01       0    17.71    0.06    0.06       0
        2048           512     float     sum      -1   121.87    0.02    0.02       0   121.79    0.02    0.02       0
        4096          1024     float     sum      -1   122.25    0.03    0.03       0   122.29    0.03    0.03       0
        8192          2048     float     sum      -1   122.20    0.07    0.07       0   122.96    0.07    0.07       0
       16384          4096     float     sum      -1   123.88    0.13    0.13       0   123.83    0.13    0.13       0
       32768          8192     float     sum      -1   126.45    0.26    0.26       0   125.63    0.26    0.26       0
       65536         16384     float     sum      -1   131.25    0.50    0.50       0   130.94    0.50    0.50       0
      131072         32768     float     sum      -1   140.29    0.93    0.93       0   139.83    0.94    0.94       0
      262144         65536     float     sum      -1   153.91    1.70    1.70       0   154.01    1.70    1.70       0
      524288        131072     float     sum      -1    64.81    8.09    8.09       0   168.40    3.11    3.11       0
     1048576        262144     float     sum      -1   200.95    5.22    5.22       0   201.07    5.21    5.21       0
     2097152        524288     float     sum      -1   388.76    5.39    5.39       0   387.20    5.42    5.42       0
     4194304       1048576     float     sum      -1   628.68    6.67    6.67       0   546.40    7.68    7.68       0
     8388608       2097152     float     sum      -1  1154.29    7.27    7.27       0  1236.58    6.78    6.78       0
    16777216       4194304     float     sum      -1  2289.85    7.33    7.33       0  2268.38    7.40    7.40       0
    33554432       8388608     float     sum      -1  4534.42    7.40    7.40       0  4448.25    7.54    7.54       0
    67108864      16777216     float     sum      -1  8856.00    7.58    7.58       0  8910.53    7.53    7.53       0
   134217728      33554432     float     sum      -1  17716.3    7.58    7.58       0  17680.9    7.59    7.59       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 2.56333 
#
# Collective test concluded: all_reduce_perf
#

