# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 4100081 on     oat-02 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 4100081 on     oat-02 device  1 [0000:61:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    47.93    0.00    0.00       0     9.18    0.00    0.00       0
          16             4     float     sum      -1     9.48    0.00    0.00       0     9.04    0.00    0.00       0
          32             8     float     sum      -1     9.19    0.00    0.00       0     9.02    0.00    0.00       0
          64            16     float     sum      -1     9.19    0.01    0.01       0     9.46    0.01    0.01       0
         128            32     float     sum      -1     9.28    0.01    0.01       0     9.16    0.01    0.01       0
         256            64     float     sum      -1     9.32    0.03    0.03       0     9.01    0.03    0.03       0
         512           128     float     sum      -1     9.49    0.05    0.05       0     9.25    0.06    0.06       0
        1024           256     float     sum      -1     9.05    0.11    0.11       0     9.28    0.11    0.11       0
        2048           512     float     sum      -1     9.05    0.23    0.23       0     9.17    0.22    0.22       0
        4096          1024     float     sum      -1     9.11    0.45    0.45       0     9.08    0.45    0.45       0
        8192          2048     float     sum      -1     9.52    0.86    0.86       0     9.16    0.89    0.89       0
       16384          4096     float     sum      -1     9.56    1.71    1.71       0     9.69    1.69    1.69       0
       32768          8192     float     sum      -1    11.81    2.77    2.77       0    11.95    2.74    2.74       0
       65536         16384     float     sum      -1    16.97    3.86    3.86       0    16.83    3.89    3.89       0
      131072         32768     float     sum      -1    26.50    4.95    4.95       0    26.39    4.97    4.97       0
      262144         65536     float     sum      -1    40.62    6.45    6.45       0    40.69    6.44    6.44       0
      524288        131072     float     sum      -1    54.61    9.60    9.60       0    54.76    9.57    9.57       0
     1048576        262144     float     sum      -1    87.54   11.98   11.98       0    88.11   11.90   11.90       0
     2097152        524288     float     sum      -1   273.58    7.67    7.67       0   273.91    7.66    7.66       0
     4194304       1048576     float     sum      -1   447.48    9.37    9.37       0   450.28    9.31    9.31       0
     8388608       2097152     float     sum      -1   984.28    8.52    8.52       0   983.75    8.53    8.53       0
    16777216       4194304     float     sum      -1  1884.89    8.90    8.90       0  1992.38    8.42    8.42       0
    33554432       8388608     float     sum      -1  3806.46    8.82    8.82       0  3792.34    8.85    8.85       0
    67108864      16777216     float     sum      -1  7501.94    8.95    8.95       0  7480.14    8.97    8.97       0
   134217728      33554432     float     sum      -1  15139.9    8.87    8.87       0  15080.0    8.90    8.90       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 4.15628 
#
# Collective test concluded: all_reduce_perf
#

