# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 2 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 1585249 on     oat-02 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 1585249 on     oat-02 device  1 [0000:61:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    47.61    0.00    0.00       0     9.16    0.00    0.00       0
          16             4     float     sum      -1    10.62    0.00    0.00       0     9.36    0.00    0.00       0
          32             8     float     sum      -1     9.56    0.00    0.00       0     9.08    0.00    0.00       0
          64            16     float     sum      -1     9.60    0.01    0.01       0     9.40    0.01    0.01       0
         128            32     float     sum      -1     9.05    0.01    0.01       0     9.06    0.01    0.01       0
         256            64     float     sum      -1     9.27    0.03    0.03       0     9.11    0.03    0.03       0
         512           128     float     sum      -1     9.14    0.06    0.06       0     9.64    0.05    0.05       0
        1024           256     float     sum      -1     9.28    0.11    0.11       0     9.07    0.11    0.11       0
        2048           512     float     sum      -1     9.54    0.21    0.21       0     9.08    0.23    0.23       0
        4096          1024     float     sum      -1     9.09    0.45    0.45       0     9.11    0.45    0.45       0
        8192          2048     float     sum      -1     9.46    0.87    0.87       0     9.03    0.91    0.91       0
       16384          4096     float     sum      -1     9.38    1.75    1.75       0   124.69    0.13    0.13       0
       32768          8192     float     sum      -1    11.74    2.79    2.79       0    11.38    2.88    2.88       0
       65536         16384     float     sum      -1    16.37    4.00    4.00       0    16.58    3.95    3.95       0
      131072         32768     float     sum      -1    26.02    5.04    5.04       0    25.87    5.07    5.07       0
      262144         65536     float     sum      -1    40.03    6.55    6.55       0    40.01    6.55    6.55       0
      524288        131072     float     sum      -1    54.01    9.71    9.71       0    53.78    9.75    9.75       0
     1048576        262144     float     sum      -1    87.52   11.98   11.98       0    87.70   11.96   11.96       0
     2097152        524288     float     sum      -1   275.21    7.62    7.62       0   155.46   13.49   13.49       0
     4194304       1048576     float     sum      -1   448.47    9.35    9.35       0   406.44   10.32   10.32       0
     8388608       2097152     float     sum      -1   708.34   11.84   11.84       0   701.04   11.97   11.97       0
    16777216       4194304     float     sum      -1  1400.73   11.98   11.98       0  1397.46   12.01   12.01       0
    33554432       8388608     float     sum      -1  2660.74   12.61   12.61       0  2615.53   12.83   12.83       0
    67108864      16777216     float     sum      -1  5260.68   12.76   12.76       0  5327.36   12.60   12.60       0
   134217728      33554432     float     sum      -1  10740.3   12.50   12.50       0  10714.5   12.53   12.53       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 5.00091 
#
# Collective test concluded: all_reduce_perf
#

