# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 2028858 on     oat-06 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 2028858 on     oat-06 device  1 [0000:61:00] NVIDIA L40S
#  Rank  2 Group  0 Pid 2028858 on     oat-06 device  2 [0000:ca:00] NVIDIA L40S
#  Rank  3 Group  0 Pid 2028858 on     oat-06 device  3 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1   123.25    0.00    0.00       0   123.34    0.00    0.00       0
          16             4     float     sum      -1   123.70    0.00    0.00       0   124.09    0.00    0.00       0
          32             8     float     sum      -1    77.61    0.00    0.00       0   125.17    0.00    0.00       0
          64            16     float     sum      -1   126.39    0.00    0.00       0   125.63    0.00    0.00       0
         128            32     float     sum      -1   126.64    0.00    0.00       0   126.59    0.00    0.00       0
         256            64     float     sum      -1   126.58    0.00    0.00       0   126.98    0.00    0.00       0
         512           128     float     sum      -1   125.01    0.00    0.01       0   126.59    0.00    0.01       0
        1024           256     float     sum      -1   126.85    0.01    0.01       0   126.66    0.01    0.01       0
        2048           512     float     sum      -1   126.93    0.02    0.02       0   126.77    0.02    0.02       0
        4096          1024     float     sum      -1   127.30    0.03    0.05       0   127.50    0.03    0.05       0
        8192          2048     float     sum      -1   128.31    0.06    0.10       0   127.98    0.06    0.10       0
       16384          4096     float     sum      -1   129.07    0.13    0.19       0   129.45    0.13    0.19       0
       32768          8192     float     sum      -1   130.79    0.25    0.38       0   130.74    0.25    0.38       0
       65536         16384     float     sum      -1   137.33    0.48    0.72       0   137.45    0.48    0.72       0
      131072         32768     float     sum      -1   151.20    0.87    1.30       0   150.27    0.87    1.31       0
      262144         65536     float     sum      -1   181.23    1.45    2.17       0   181.20    1.45    2.17       0
      524288        131072     float     sum      -1   325.16    1.61    2.42       0   284.04    1.85    2.77       0
     1048576        262144     float     sum      -1   536.13    1.96    2.93       0   591.67    1.77    2.66       0
     2097152        524288     float     sum      -1  1092.84    1.92    2.88       0  1219.23    1.72    2.58       0
     4194304       1048576     float     sum      -1  2090.34    2.01    3.01       0  2108.17    1.99    2.98       0
     8388608       2097152     float     sum      -1  4144.06    2.02    3.04       0  4184.31    2.00    3.01       0
    16777216       4194304     float     sum      -1  8212.77    2.04    3.06       0  8140.71    2.06    3.09       0
    33554432       8388608     float     sum      -1  16289.0    2.06    3.09       0  16231.4    2.07    3.10       0
    67108864      16777216     float     sum      -1  32284.5    2.08    3.12       0  32227.6    2.08    3.12       0
   134217728      33554432     float     sum      -1  64488.6    2.08    3.12       0  65265.3    2.06    3.08       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.25934 
#
# Collective test concluded: all_reduce_perf
#

