# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 2028772 on     oat-06 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 2028772 on     oat-06 device  1 [0000:61:00] NVIDIA L40S
#  Rank  2 Group  0 Pid 2028772 on     oat-06 device  2 [0000:ca:00] NVIDIA L40S
#  Rank  3 Group  0 Pid 2028772 on     oat-06 device  3 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    17.54    0.00    0.00       0    17.24    0.00    0.00       0
          16             4     float     sum      -1    17.93    0.00    0.00       0    17.22    0.00    0.00       0
          32             8     float     sum      -1    21.07    0.00    0.00       0    17.45    0.00    0.00       0
          64            16     float     sum      -1    17.91    0.00    0.01       0    18.04    0.00    0.01       0
         128            32     float     sum      -1    17.58    0.01    0.01       0    17.94    0.01    0.01       0
         256            64     float     sum      -1    18.09    0.01    0.02       0    17.49    0.01    0.02       0
         512           128     float     sum      -1    17.72    0.03    0.04       0    17.67    0.03    0.04       0
        1024           256     float     sum      -1    17.57    0.06    0.09       0    17.63    0.06    0.09       0
        2048           512     float     sum      -1    17.68    0.12    0.17       0    17.69    0.12    0.17       0
        4096          1024     float     sum      -1    17.56    0.23    0.35       0    17.69    0.23    0.35       0
        8192          2048     float     sum      -1    18.15    0.45    0.68       0    17.66    0.46    0.70       0
       16384          4096     float     sum      -1    18.06    0.91    1.36       0    17.77    0.92    1.38       0
       32768          8192     float     sum      -1    18.00    1.82    2.73       0    18.15    1.81    2.71       0
       65536         16384     float     sum      -1    23.22    2.82    4.23       0    22.54    2.91    4.36       0
      131072         32768     float     sum      -1    36.54    3.59    5.38       0    35.81    3.66    5.49       0
      262144         65536     float     sum      -1    65.27    4.02    6.02       0    63.23    4.15    6.22       0
      524288        131072     float     sum      -1   124.99    4.19    6.29       0   121.00    4.33    6.50       0
     1048576        262144     float     sum      -1   255.66    4.10    6.15       0   255.66    4.10    6.15       0
     2097152        524288     float     sum      -1   490.57    4.27    6.41       0   483.84    4.33    6.50       0
     4194304       1048576     float     sum      -1   994.57    4.22    6.33       0   999.03    4.20    6.30       0
     8388608       2097152     float     sum      -1  1985.03    4.23    6.34       0  1982.62    4.23    6.35       0
    16777216       4194304     float     sum      -1  4045.97    4.15    6.22       0  3982.72    4.21    6.32       0
    33554432       8388608     float     sum      -1  7955.69    4.22    6.33       0  8001.63    4.19    6.29       0
    67108864      16777216     float     sum      -1  15916.7    4.22    6.32       0  15989.5    4.20    6.30       0
   134217728      33554432     float     sum      -1  32054.4    4.19    6.28       0  32311.1    4.15    6.23       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 3.12514 
#
# Collective test concluded: all_reduce_perf
#

