# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 2028711 on     oat-06 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 2028711 on     oat-06 device  1 [0000:61:00] NVIDIA L40S
#  Rank  2 Group  0 Pid 2028711 on     oat-06 device  2 [0000:ca:00] NVIDIA L40S
#  Rank  3 Group  0 Pid 2028711 on     oat-06 device  3 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1   137.06    0.00    0.00       0    45.89    0.00    0.00       0
          16             4     float     sum      -1   136.72    0.00    0.00       0   136.99    0.00    0.00       0
          32             8     float     sum      -1   137.13    0.00    0.00       0   136.97    0.00    0.00       0
          64            16     float     sum      -1   136.85    0.00    0.00       0   136.84    0.00    0.00       0
         128            32     float     sum      -1   136.76    0.00    0.00       0   136.78    0.00    0.00       0
         256            64     float     sum      -1   137.02    0.00    0.00       0   137.12    0.00    0.00       0
         512           128     float     sum      -1   137.41    0.00    0.01       0   136.87    0.00    0.01       0
        1024           256     float     sum      -1   137.06    0.01    0.01       0   136.99    0.01    0.01       0
        2048           512     float     sum      -1   137.59    0.01    0.02       0   137.46    0.01    0.02       0
        4096          1024     float     sum      -1   138.37    0.03    0.04       0   138.11    0.03    0.04       0
        8192          2048     float     sum      -1   138.89    0.06    0.09       0   138.58    0.06    0.09       0
       16384          4096     float     sum      -1   142.19    0.12    0.17       0   141.94    0.12    0.17       0
       32768          8192     float     sum      -1   152.09    0.22    0.32       0   151.49    0.22    0.32       0
       65536         16384     float     sum      -1    96.55    0.68    1.02       0   152.47    0.43    0.64       0
      131072         32768     float     sum      -1   158.51    0.83    1.24       0   158.20    0.83    1.24       0
      262144         65536     float     sum      -1   100.17    2.62    3.93       0   181.19    1.45    2.17       0
      524288        131072     float     sum      -1   218.64    2.40    3.60       0   340.10    1.54    2.31       0
     1048576        262144     float     sum      -1   579.75    1.81    2.71       0   416.30    2.52    3.78       0
     2097152        524288     float     sum      -1   800.08    2.62    3.93       0   760.68    2.76    4.14       0
     4194304       1048576     float     sum      -1  1422.10    2.95    4.42       0  1458.54    2.88    4.31       0
     8388608       2097152     float     sum      -1  2746.43    3.05    4.58       0  2714.93    3.09    4.63       0
    16777216       4194304     float     sum      -1  5300.75    3.17    4.75       0  5359.07    3.13    4.70       0
    33554432       8388608     float     sum      -1  10560.8    3.18    4.77       0  10574.9    3.17    4.76       0
    67108864      16777216     float     sum      -1  20861.2    3.22    4.83       0  21054.0    3.19    4.78       0
   134217728      33554432     float     sum      -1  42187.4    3.18    4.77       0  42218.1    3.18    4.77       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 1.76258 
#
# Collective test concluded: all_reduce_perf
#

