# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 2028664 on     oat-06 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 2028664 on     oat-06 device  1 [0000:61:00] NVIDIA L40S
#  Rank  2 Group  0 Pid 2028664 on     oat-06 device  2 [0000:ca:00] NVIDIA L40S
#  Rank  3 Group  0 Pid 2028664 on     oat-06 device  3 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    41.76    0.00    0.00       0   138.36    0.00    0.00       0
          16             4     float     sum      -1    23.58    0.00    0.00       0    23.12    0.00    0.00       0
          32             8     float     sum      -1   137.68    0.00    0.00       0    23.12    0.00    0.00       0
          64            16     float     sum      -1    23.02    0.00    0.00       0   137.59    0.00    0.00       0
         128            32     float     sum      -1    23.37    0.01    0.01       0    23.14    0.01    0.01       0
         256            64     float     sum      -1   137.64    0.00    0.00       0    23.08    0.01    0.02       0
         512           128     float     sum      -1    23.03    0.02    0.03       0   137.51    0.00    0.01       0
        1024           256     float     sum      -1    23.10    0.04    0.07       0    23.09    0.04    0.07       0
        2048           512     float     sum      -1   138.57    0.01    0.02       0    23.64    0.09    0.13       0
        4096          1024     float     sum      -1    24.64    0.17    0.25       0   138.67    0.03    0.04       0
        8192          2048     float     sum      -1    24.94    0.33    0.49       0    24.69    0.33    0.50       0
       16384          4096     float     sum      -1   142.74    0.11    0.17       0    28.53    0.57    0.86       0
       32768          8192     float     sum      -1    36.15    0.91    1.36       0    35.95    0.91    1.37       0
       65536         16384     float     sum      -1    37.66    1.74    2.61       0    37.70    1.74    2.61       0
      131072         32768     float     sum      -1    44.10    2.97    4.46       0    44.01    2.98    4.47       0
      262144         65536     float     sum      -1    65.70    3.99    5.99       0    64.89    4.04    6.06       0
      524288        131072     float     sum      -1   104.49    5.02    7.53       0   104.08    5.04    7.56       0
     1048576        262144     float     sum      -1   348.44    3.01    4.51       0   349.38    3.00    4.50       0
     2097152        524288     float     sum      -1   663.12    3.16    4.74       0   664.82    3.15    4.73       0
     4194304       1048576     float     sum      -1  1251.33    3.35    5.03       0  1205.56    3.48    5.22       0
     8388608       2097152     float     sum      -1  2307.06    3.64    5.45       0  2263.13    3.71    5.56       0
    16777216       4194304     float     sum      -1  4550.07    3.69    5.53       0  4539.62    3.70    5.54       0
    33554432       8388608     float     sum      -1  9239.95    3.63    5.45       0  8981.31    3.74    5.60       0
    67108864      16777216     float     sum      -1  18256.3    3.68    5.51       0  18080.7    3.71    5.57       0
   134217728      33554432     float     sum      -1  35989.7    3.73    5.59       0  36318.8    3.70    5.54       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 2.61562 
#
# Collective test concluded: all_reduce_perf
#

