# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 2029068 on     oat-06 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 2029068 on     oat-06 device  1 [0000:61:00] NVIDIA L40S
#  Rank  2 Group  0 Pid 2029068 on     oat-06 device  2 [0000:ca:00] NVIDIA L40S
#  Rank  3 Group  0 Pid 2029068 on     oat-06 device  3 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    70.26    0.00    0.00       0    38.66    0.00    0.00       0
          16             4     float     sum      -1    38.74    0.00    0.00       0    38.45    0.00    0.00       0
          32             8     float     sum      -1    38.45    0.00    0.00       0    38.49    0.00    0.00       0
          64            16     float     sum      -1    38.56    0.00    0.00       0    38.22    0.00    0.00       0
         128            32     float     sum      -1    38.99    0.00    0.00       0    38.69    0.00    0.00       0
         256            64     float     sum      -1    38.78    0.01    0.01       0    38.73    0.01    0.01       0
         512           128     float     sum      -1    39.00    0.01    0.02       0    38.92    0.01    0.02       0
        1024           256     float     sum      -1    38.97    0.03    0.04       0    38.59    0.03    0.04       0
        2048           512     float     sum      -1    39.30    0.05    0.08       0    38.80    0.05    0.08       0
        4096          1024     float     sum      -1    40.29    0.10    0.15       0    40.35    0.10    0.15       0
        8192          2048     float     sum      -1    41.92    0.20    0.29       0    41.57    0.20    0.30       0
       16384          4096     float     sum      -1    43.70    0.37    0.56       0    43.64    0.38    0.56       0
       32768          8192     float     sum      -1    51.06    0.64    0.96       0    50.73    0.65    0.97       0
       65536         16384     float     sum      -1    58.06    1.13    1.69       0    57.95    1.13    1.70       0
      131072         32768     float     sum      -1    53.43    2.45    3.68       0    53.24    2.46    3.69       0
      262144         65536     float     sum      -1    64.89    4.04    6.06       0    63.96    4.10    6.15       0
      524288        131072     float     sum      -1    87.59    5.99    8.98       0    87.03    6.02    9.04       0
     1048576        262144     float     sum      -1   292.93    3.58    5.37       0   246.41    4.26    6.38       0
     2097152        524288     float     sum      -1   384.24    5.46    8.19       0   381.82    5.49    8.24       0
     4194304       1048576     float     sum      -1   735.84    5.70    8.55       0   735.17    5.71    8.56       0
     8388608       2097152     float     sum      -1  1419.33    5.91    8.87       0  1459.06    5.75    8.62       0
    16777216       4194304     float     sum      -1  2760.84    6.08    9.12       0  2719.61    6.17    9.25       0
    33554432       8388608     float     sum      -1  5564.07    6.03    9.05       0  5565.10    6.03    9.04       0
    67108864      16777216     float     sum      -1  10923.2    6.14    9.22       0  10950.7    6.13    9.19       0
   134217728      33554432     float     sum      -1  21806.3    6.15    9.23       0  21793.6    6.16    9.24       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 3.62727 
#
# Collective test concluded: all_reduce_perf
#

