# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 4101523 on     oat-02 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 4101523 on     oat-02 device  1 [0000:61:00] NVIDIA L40S
#  Rank  2 Group  0 Pid 4101523 on     oat-02 device  2 [0000:ca:00] NVIDIA L40S
#  Rank  3 Group  0 Pid 4101523 on     oat-02 device  3 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    17.42    0.00    0.00       0    17.11    0.00    0.00       0
          16             4     float     sum      -1    19.13    0.00    0.00       0    17.10    0.00    0.00       0
          32             8     float     sum      -1    16.98    0.00    0.00       0    17.85    0.00    0.00       0
          64            16     float     sum      -1    18.04    0.00    0.01       0    17.42    0.00    0.01       0
         128            32     float     sum      -1    17.26    0.01    0.01       0    18.60    0.01    0.01       0
         256            64     float     sum      -1    17.54    0.01    0.02       0    17.11    0.01    0.02       0
         512           128     float     sum      -1    17.99    0.03    0.04       0    17.38    0.03    0.04       0
        1024           256     float     sum      -1    17.09    0.06    0.09       0    17.75    0.06    0.09       0
        2048           512     float     sum      -1    17.07    0.12    0.18       0    17.43    0.12    0.18       0
        4096          1024     float     sum      -1    17.56    0.23    0.35       0    17.86    0.23    0.34       0
        8192          2048     float     sum      -1    17.35    0.47    0.71       0    17.36    0.47    0.71       0
       16384          4096     float     sum      -1    18.21    0.90    1.35       0    17.73    0.92    1.39       0
       32768          8192     float     sum      -1    18.72    1.75    2.63       0    28.34    1.16    1.73       0
       65536         16384     float     sum      -1    23.05    2.84    4.27       0    22.74    2.88    4.32       0
      131072         32768     float     sum      -1    36.84    3.56    5.34       0    35.49    3.69    5.54       0
      262144         65536     float     sum      -1    67.62    3.88    5.82       0    65.55    4.00    6.00       0
      524288        131072     float     sum      -1    86.97    6.03    9.04       0    86.46    6.06    9.10       0
     1048576        262144     float     sum      -1   127.25    8.24   12.36       0   126.56    8.29   12.43       0
     2097152        524288     float     sum      -1   230.44    9.10   13.65       0   230.03    9.12   13.68       0
     4194304       1048576     float     sum      -1   412.19   10.18   15.26       0   414.62   10.12   15.17       0
     8388608       2097152     float     sum      -1   832.96   10.07   15.11       0   832.40   10.08   15.12       0
    16777216       4194304     float     sum      -1  1673.93   10.02   15.03       0  1676.69   10.01   15.01       0
    33554432       8388608     float     sum      -1  3318.75   10.11   15.17       0  3330.44   10.08   15.11       0
    67108864      16777216     float     sum      -1  6618.01   10.14   15.21       0  6597.84   10.17   15.26       0
   134217728      33554432     float     sum      -1  13122.8   10.23   15.34       0  13051.6   10.28   15.43       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 5.87322 
#
# Collective test concluded: all_reduce_perf
#

