# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 2028318 on     oat-06 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 2028318 on     oat-06 device  1 [0000:61:00] NVIDIA L40S
#  Rank  2 Group  0 Pid 2028318 on     oat-06 device  2 [0000:ca:00] NVIDIA L40S
#  Rank  3 Group  0 Pid 2028318 on     oat-06 device  3 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    17.64    0.00    0.00       0    17.22    0.00    0.00       0
          16             4     float     sum      -1    18.06    0.00    0.00       0    17.68    0.00    0.00       0
          32             8     float     sum      -1    17.13    0.00    0.00       0    17.04    0.00    0.00       0
          64            16     float     sum      -1    17.45    0.00    0.01       0    17.49    0.00    0.01       0
         128            32     float     sum      -1    17.24    0.01    0.01       0    17.84    0.01    0.01       0
         256            64     float     sum      -1    17.29    0.01    0.02       0    17.22    0.01    0.02       0
         512           128     float     sum      -1    17.72    0.03    0.04       0    17.31    0.03    0.04       0
        1024           256     float     sum      -1    17.26    0.06    0.09       0    17.72    0.06    0.09       0
        2048           512     float     sum      -1    17.32    0.12    0.18       0    17.51    0.12    0.18       0
        4096          1024     float     sum      -1    17.38    0.24    0.35       0    17.40    0.24    0.35       0
        8192          2048     float     sum      -1    17.39    0.47    0.71       0    17.24    0.48    0.71       0
       16384          4096     float     sum      -1    17.81    0.92    1.38       0    17.42    0.94    1.41       0
       32768          8192     float     sum      -1    17.58    1.86    2.80       0    18.10    1.81    2.72       0
       65536         16384     float     sum      -1    23.05    2.84    4.27       0    22.59    2.90    4.35       0
      131072         32768     float     sum      -1    37.80    3.47    5.20       0    37.26    3.52    5.28       0
      262144         65536     float     sum      -1    68.05    3.85    5.78       0    66.27    3.96    5.93       0
      524288        131072     float     sum      -1    85.75    6.11    9.17       0    85.75    6.11    9.17       0
     1048576        262144     float     sum      -1   127.75    8.21   12.31       0   124.57    8.42   12.63       0
     2097152        524288     float     sum      -1   230.23    9.11   13.66       0   230.19    9.11   13.67       0
     4194304       1048576     float     sum      -1   427.54    9.81   14.72       0   429.54    9.76   14.65       0
     8388608       2097152     float     sum      -1   885.59    9.47   14.21       0   880.35    9.53   14.29       0
    16777216       4194304     float     sum      -1  1789.71    9.37   14.06       0  1946.26    8.62   12.93       0
    33554432       8388608     float     sum      -1  3546.95    9.46   14.19       0  3507.48    9.57   14.35       0
    67108864      16777216     float     sum      -1  6920.99    9.70   14.54       0  6884.52    9.75   14.62       0
   134217728      33554432     float     sum      -1  13672.9    9.82   14.72       0  13666.8    9.82   14.73       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 5.69128 
#
# Collective test concluded: all_reduce_perf
#

