# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 2028464 on     oat-06 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 2028464 on     oat-06 device  1 [0000:61:00] NVIDIA L40S
#  Rank  2 Group  0 Pid 2028464 on     oat-06 device  2 [0000:ca:00] NVIDIA L40S
#  Rank  3 Group  0 Pid 2028464 on     oat-06 device  3 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    17.84    0.00    0.00       0    17.66    0.00    0.00       0
          16             4     float     sum      -1    18.20    0.00    0.00       0    17.22    0.00    0.00       0
          32             8     float     sum      -1    17.78    0.00    0.00       0    17.18    0.00    0.00       0
          64            16     float     sum      -1    17.24    0.00    0.01       0    17.47    0.00    0.01       0
         128            32     float     sum      -1    17.13    0.01    0.01       0    17.48    0.01    0.01       0
         256            64     float     sum      -1    17.36    0.01    0.02       0    17.36    0.01    0.02       0
         512           128     float     sum      -1    17.34    0.03    0.04       0    17.28    0.03    0.04       0
        1024           256     float     sum      -1    17.32    0.06    0.09       0    17.16    0.06    0.09       0
        2048           512     float     sum      -1    17.31    0.12    0.18       0    17.26    0.12    0.18       0
        4096          1024     float     sum      -1    17.44    0.23    0.35       0    17.55    0.23    0.35       0
        8192          2048     float     sum      -1    18.92    0.43    0.65       0    18.49    0.44    0.66       0
       16384          4096     float     sum      -1    22.04    0.74    1.12       0    21.62    0.76    1.14       0
       32768          8192     float     sum      -1    27.87    1.18    1.76       0    27.70    1.18    1.77       0
       65536         16384     float     sum      -1    58.54    1.12    1.68       0    57.98    1.13    1.70       0
      131072         32768     float     sum      -1    79.70    1.64    2.47       0    79.59    1.65    2.47       0
      262144         65536     float     sum      -1   119.89    2.19    3.28       0   118.88    2.21    3.31       0
      524288        131072     float     sum      -1   199.77    2.62    3.94       0   199.24    2.63    3.95       0
     1048576        262144     float     sum      -1   359.29    2.92    4.38       0   359.14    2.92    4.38       0
     2097152        524288     float     sum      -1   425.61    4.93    7.39       0   423.77    4.95    7.42       0
     4194304       1048576     float     sum      -1   637.07    6.58    9.88       0   638.07    6.57    9.86       0
     8388608       2097152     float     sum      -1  1047.38    8.01   12.01       0  1045.44    8.02   12.04       0
    16777216       4194304     float     sum      -1  1887.20    8.89   13.34       0  1894.47    8.86   13.28       0
    33554432       8388608     float     sum      -1  3607.38    9.30   13.95       0  3601.92    9.32   13.97       0
    67108864      16777216     float     sum      -1  7143.15    9.39   14.09       0  7128.33    9.41   14.12       0
   134217728      33554432     float     sum      -1  14138.8    9.49   14.24       0  14127.3    9.50   14.25       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 4.19809 
#
# Collective test concluded: all_reduce_perf
#

