# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 4 minBytes 8 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#  Rank  0 Group  0 Pid 2028514 on     oat-06 device  0 [0000:4a:00] NVIDIA L40S
#  Rank  1 Group  0 Pid 2028514 on     oat-06 device  1 [0000:61:00] NVIDIA L40S
#  Rank  2 Group  0 Pid 2028514 on     oat-06 device  2 [0000:ca:00] NVIDIA L40S
#  Rank  3 Group  0 Pid 2028514 on     oat-06 device  3 [0000:e1:00] NVIDIA L40S
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           8             2     float     sum      -1    18.05    0.00    0.00       0   126.76    0.00    0.00       0
          16             4     float     sum      -1    17.79    0.00    0.00       0    17.88    0.00    0.00       0
          32             8     float     sum      -1   131.42    0.00    0.00       0    17.86    0.00    0.00       0
          64            16     float     sum      -1    18.10    0.00    0.01       0   132.58    0.00    0.00       0
         128            32     float     sum      -1    17.75    0.01    0.01       0    18.39    0.01    0.01       0
         256            64     float     sum      -1   132.09    0.00    0.00       0    17.64    0.01    0.02       0
         512           128     float     sum      -1    18.32    0.03    0.04       0   132.38    0.00    0.01       0
        1024           256     float     sum      -1    17.66    0.06    0.09       0    18.19    0.06    0.08       0
        2048           512     float     sum      -1   132.05    0.02    0.02       0    18.06    0.11    0.17       0
        4096          1024     float     sum      -1    17.90    0.23    0.34       0   132.69    0.03    0.05       0
        8192          2048     float     sum      -1    18.71    0.44    0.66       0    18.46    0.44    0.67       0
       16384          4096     float     sum      -1   136.36    0.12    0.18       0    21.22    0.77    1.16       0
       32768          8192     float     sum      -1    28.42    1.15    1.73       0    27.43    1.19    1.79       0
       65536         16384     float     sum      -1    58.94    1.11    1.67       0    58.45    1.12    1.68       0
      131072         32768     float     sum      -1    80.23    1.63    2.45       0    79.59    1.65    2.47       0
      262144         65536     float     sum      -1   233.00    1.13    1.69       0   232.87    1.13    1.69       0
      524288        131072     float     sum      -1   309.08    1.70    2.54       0   308.75    1.70    2.55       0
     1048576        262144     float     sum      -1   625.35    1.68    2.52       0   668.29    1.57    2.35       0
     2097152        524288     float     sum      -1   694.74    3.02    4.53       0   693.46    3.02    4.54       0
     4194304       1048576     float     sum      -1  1081.39    3.88    5.82       0  1040.91    4.03    6.04       0
     8388608       2097152     float     sum      -1  1764.50    4.75    7.13       0  1760.42    4.77    7.15       0
    16777216       4194304     float     sum      -1  2754.73    6.09    9.14       0  2853.69    5.88    8.82       0
    33554432       8388608     float     sum      -1  5249.37    6.39    9.59       0  5226.09    6.42    9.63       0
    67108864      16777216     float     sum      -1  10177.7    6.59    9.89       0  10146.0    6.61    9.92       0
   134217728      33554432     float     sum      -1  20206.2    6.64    9.96       0  20150.2    6.66    9.99       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 2.81589 
#
# Collective test concluded: all_reduce_perf
#

